"plantNum","weight","lgw","trich","tough","lat","c8.4","c10.2","c10.7","c18.1","c.pca","date.in","date.out","daysout"
1,0.00196,-6.23481080573971,NA,110,NA,0.00431938769798918,0.0544141126417897,0.0308141158843233,0.0159919533611696,2.0978237355694,2016-09-02,2016-08-26,7
1,0.00144,-6.54311216539423,NA,110,NA,0.00431938769798918,0.0544141126417897,0.0308141158843233,0.0159919533611696,2.0978237355694,2016-09-02,2016-08-26,7
1,0.00134,-6.61508566501932,NA,110,NA,0.00431938769798918,0.0544141126417897,0.0308141158843233,0.0159919533611696,2.0978237355694,2016-09-02,2016-08-26,7
1,0.00196,-6.23481080573971,NA,110,NA,0.00431938769798918,0.0544141126417897,0.0308141158843233,0.0159919533611696,2.0978237355694,2016-09-02,2016-08-26,7
2,0.00123,-6.70074110959781,87.5,145,0.00102899999999995,0.00579334728134851,0.0210237431582244,0.0401265515889759,0.0182502930689488,2.65294409209552,2016-09-02,2016-08-26,7
2,0.00283,-5.86747856732699,87.5,145,0.00102899999999995,0.00579334728134851,0.0210237431582244,0.0401265515889759,0.0182502930689488,2.65294409209552,2016-09-02,2016-08-26,7
2,0.00462,-5.37736057388849,87.5,145,0.00102899999999995,0.00579334728134851,0.0210237431582244,0.0401265515889759,0.0182502930689488,2.65294409209552,2016-09-02,2016-08-26,7
3,0.00317,-5.75402369109295,77.5,132.5,0.00531100000000007,0.0251424522314438,0.028111677389415,0.0276960329470223,0.0128340002593097,1.8383778165382,2016-09-02,2016-08-26,7
3,0.00466,-5.36873983084458,77.5,132.5,0.00531100000000007,0.0251424522314438,0.028111677389415,0.0276960329470223,0.0128340002593097,1.8383778165382,2016-09-02,2016-08-26,7
3,0.00271,-5.91080664409053,77.5,132.5,0.00531100000000007,0.0251424522314438,0.028111677389415,0.0276960329470223,0.0128340002593097,1.8383778165382,2016-09-02,2016-08-26,7
3,0.00097,-6.93821448646685,77.5,132.5,0.00531100000000007,0.0251424522314438,0.028111677389415,0.0276960329470223,0.0128340002593097,1.8383778165382,2016-09-02,2016-08-26,7
3,NA,NA,77.5,132.5,0.00531100000000007,0.0251424522314438,0.028111677389415,0.0276960329470223,0.0128340002593097,1.8383778165382,2016-09-02,2016-08-26,7
5,0.00334,-5.70178447199353,34,127.5,0.00077499999999997,0.0098983711488002,0.0319013023261227,0.0393518053342753,0.0194235813561009,2.64845816914069,2016-09-02,2016-08-26,7
5,0.00385,-5.55968213068244,34,127.5,0.00077499999999997,0.0098983711488002,0.0319013023261227,0.0393518053342753,0.0194235813561009,2.64845816914069,2016-09-02,2016-08-26,7
5,0.00397,-5.52898918428304,34,127.5,0.00077499999999997,0.0098983711488002,0.0319013023261227,0.0393518053342753,0.0194235813561009,2.64845816914069,2016-09-02,2016-08-26,7
5,0.00197,-6.22972173623224,34,127.5,0.00077499999999997,0.0098983711488002,0.0319013023261227,0.0393518053342753,0.0194235813561009,2.64845816914069,2016-09-02,2016-08-26,7
5,0.00265,-5.93319563898401,34,127.5,0.00077499999999997,0.0098983711488002,0.0319013023261227,0.0393518053342753,0.0194235813561009,2.64845816914069,2016-09-02,2016-08-26,7
6,0.00106,-6.84948637085816,35.5,132.5,NA,0.168797989701593,0.0419623357233816,0.0279914676839026,0.031090713278198,2.41305836625665,2016-09-02,2016-08-26,7
7,0.00125,-6.68461172766793,89,110,0.00342300000000018,0.00349693526073544,0.0196382681792249,0.0217234696038008,0.0137938508439858,1.55612202182598,2016-09-02,2016-08-26,7
7,0.00132,-6.63012354238386,89,110,0.00342300000000018,0.00349693526073544,0.0196382681792249,0.0217234696038008,0.0137938508439858,1.55612202182598,2016-09-02,2016-08-26,7
7,0.00185,-6.2925696398919,89,110,0.00342300000000018,0.00349693526073544,0.0196382681792249,0.0217234696038008,0.0137938508439858,1.55612202182598,2016-09-02,2016-08-26,7
7,0.00144,-6.54311216539423,89,110,0.00342300000000018,0.00349693526073544,0.0196382681792249,0.0217234696038008,0.0137938508439858,1.55612202182598,2016-09-02,2016-08-26,7
7,0.00149,-6.50897915902477,89,110,0.00342300000000018,0.00349693526073544,0.0196382681792249,0.0217234696038008,0.0137938508439858,1.55612202182598,2016-09-02,2016-08-26,7
8,0.00125,-6.68461172766793,100,42.5,NA,0.0625328368079802,0.0448740866707152,0.0516589830672206,0.0371178503960296,3.83270379926791,2016-09-02,2016-08-26,7
8,0.00129,-6.65311306060856,100,42.5,NA,0.0625328368079802,0.0448740866707152,0.0516589830672206,0.0371178503960296,3.83270379926791,2016-09-02,2016-08-26,7
