"data","focal trait","context trait","switching point","effect at mean"
"monarch growth","cardenolide 10.5","LMA",0.601818655445726,"beneficial to herbivore"
"monarch growth","cardenolide 18.6","LMA",0.300151623627979,"beneficial to herbivore"
"monarch growth","non nitrogen (%)","LMA",0.422400672078794,"defensive"
"monarch growth","carbon (%)","LMA",5.43284027307275,"beneficial to herbivore"
"monarch growth","latex","LMA",5.04008057047876,"defensive"
"monarch growth","trichome density","LMA",3.00563647636768,"beneficial to herbivore"
"monarch growth","leaf toughness","LMA",1.4290666271694,"defensive"
"monarch growth","cardenolide suite 2015","LMA",1.10738465904044,"defensive"
"monarch growth","cardenolide 18.6","cardenolide 10.5",0.78413521799885,"beneficial to herbivore"
"monarch growth","non nitrogen (%)","cardenolide 10.5",0.612263797036227,"defensive"
"monarch growth","carbon (%)","cardenolide 10.5",4.78916553852492,"beneficial to herbivore"
"monarch growth","latex","cardenolide 10.5",11.1744202721741,"defensive"
"monarch growth","trichome density","cardenolide 10.5",12.8658632087483,"beneficial to herbivore"
"monarch growth","leaf toughness","cardenolide 10.5",0.232267424661005,"beneficial to herbivore"
"monarch growth","cardenolide suite 2015","cardenolide 10.5",2.05130564497545,"defensive"
"monarch growth","non nitrogen (%)","cardenolide 18.6",0.395922363207992,"defensive"
"monarch growth","carbon (%)","cardenolide 18.6",9.19154185169619,"beneficial to herbivore"
"monarch growth","latex","cardenolide 18.6",4.32388619647541,"defensive"
"monarch growth","trichome density","cardenolide 18.6",21.8522716174398,"beneficial to herbivore"
"monarch growth","leaf toughness","cardenolide 18.6",0.182315754521606,"beneficial to herbivore"
"monarch growth","cardenolide suite 2015","cardenolide 18.6",1.52714968707388,"defensive"
"monarch growth","carbon (%)","non nitrogen (%)",7.27946492237953,"beneficial to herbivore"
"monarch growth","latex","non nitrogen (%)",9.58068840165794,"defensive"
"monarch growth","trichome density","non nitrogen (%)",1.03754383188135,"beneficial to herbivore"
"monarch growth","leaf toughness","non nitrogen (%)",0.274710083348828,"beneficial to herbivore"
"monarch growth","cardenolide suite 2015","non nitrogen (%)",0.0177869986732273,"beneficial to herbivore"
"monarch growth","latex","carbon (%)",1.70201440153124,"defensive"
"monarch growth","trichome density","carbon (%)",2.2316096586558,"beneficial to herbivore"
"monarch growth","leaf toughness","carbon (%)",0.134337012699015,"defensive"
"monarch growth","cardenolide suite 2015","carbon (%)",38.007360965552,"defensive"
"monarch growth","trichome density","latex",50.4696732114922,"beneficial to herbivore"
"monarch growth","leaf toughness","latex",0.735152521369163,"beneficial to herbivore"
"monarch growth","cardenolide suite 2015","latex",2.20609775632466,"defensive"
"monarch growth","leaf toughness","trichome density",0.60343552591247,"defensive"
"monarch growth","cardenolide suite 2015","trichome density",5.70628537627487,"defensive"
"monarch growth","cardenolide suite 2015","leaf toughness",0.466922750393215,"defensive"
"monarch survival","cardenolide 10.5","LMA",2.78959897105084,"defensive"
"monarch survival","cardenolide 18.6","LMA",0.000901994799460772,"defensive"
"monarch survival","non nitrogen (%)","LMA",0.856299182634423,"defensive"
"monarch survival","carbon (%)","LMA",3.23178268701522,"defensive"
"monarch survival","latex","LMA",0.162218323005965,"defensive"
"monarch survival","trichome density","LMA",2.83339765043689,"defensive"
"monarch survival","leaf toughness","LMA",3.4968766067727,"defensive"
"monarch survival","cardenolide suite 2015","LMA",1.37222595784692,"beneficial to herbivore"
"monarch survival","cardenolide 18.6","cardenolide 10.5",0.535426893795767,"beneficial to herbivore"
"monarch survival","non nitrogen (%)","cardenolide 10.5",203.812713771684,"defensive"
"monarch survival","carbon (%)","cardenolide 10.5",3.3385997076687,"defensive"
"monarch survival","latex","cardenolide 10.5",0.176536448949252,"beneficial to herbivore"
"monarch survival","trichome density","cardenolide 10.5",1.47718401439097,"defensive"
"monarch survival","leaf toughness","cardenolide 10.5",3.97818821950405,"defensive"
"monarch survival","cardenolide suite 2015","cardenolide 10.5",0.27654438021832,"beneficial to herbivore"
"monarch survival","non nitrogen (%)","cardenolide 18.6",0.891857858983217,"defensive"
"monarch survival","carbon (%)","cardenolide 18.6",0.494903974499811,"defensive"
"monarch survival","latex","cardenolide 18.6",0.0955400415403001,"defensive"
"monarch survival","trichome density","cardenolide 18.6",1.10346172118348,"defensive"
"monarch survival","leaf toughness","cardenolide 18.6",4.79578545410172,"defensive"
"monarch survival","cardenolide suite 2015","cardenolide 18.6",0.581421816725251,"beneficial to herbivore"
"monarch survival","carbon (%)","non nitrogen (%)",2.75792669292469,"defensive"
"monarch survival","latex","non nitrogen (%)",1.08501283395925,"beneficial to herbivore"
"monarch survival","trichome density","non nitrogen (%)",2.32754585424099,"defensive"
"monarch survival","leaf toughness","non nitrogen (%)",7.79858093946621,"defensive"
"monarch survival","cardenolide suite 2015","non nitrogen (%)",3.6090133121547,"beneficial to herbivore"
"monarch survival","latex","carbon (%)",0.810086600543621,"defensive"
"monarch survival","trichome density","carbon (%)",3.15228343411646,"defensive"
"monarch survival","leaf toughness","carbon (%)",0.935416807179221,"defensive"
"monarch survival","cardenolide suite 2015","carbon (%)",0.142397309678811,"beneficial to herbivore"
"monarch survival","trichome density","latex",6.82607383226046,"defensive"
"monarch survival","leaf toughness","latex",2.98238218496782,"defensive"
"monarch survival","cardenolide suite 2015","latex",0.104920422497239,"defensive"
"monarch survival","leaf toughness","trichome density",1.10387707724909,"defensive"
"monarch survival","cardenolide suite 2015","trichome density",0.074751252444017,"beneficial to herbivore"
"monarch survival","cardenolide suite 2015","leaf toughness",1.28739935572632,"beneficial to herbivore"
"beetle growth","cardenolide 10.2","cardenolide 8.4",0.70172578581981,"beneficial to herbivore"
"beetle growth","cardenolide suite 2015","cardenolide 8.4",0.786091300623843,"defensive"
"beetle growth","leaf toughness","cardenolide 8.4",2.01403790179326,"beneficial to herbivore"
"beetle growth","trichome density","cardenolide 8.4",0.464891543645351,"beneficial to herbivore"
"beetle growth","latex","cardenolide 8.4",1.31847269304559,"defensive"
"beetle growth","cardenolide suite 2015","cardenolide 10.2",0.946023211510636,"defensive"
"beetle growth","leaf toughness","cardenolide 10.2",2.71186457681251,"beneficial to herbivore"
"beetle growth","trichome density","cardenolide 10.2",0.129114499466735,"defensive"
"beetle growth","latex","cardenolide 10.2",0.334115722947359,"defensive"
"beetle growth","leaf toughness","cardenolide suite 2015",1.72967481173907,"beneficial to herbivore"
"beetle growth","trichome density","cardenolide suite 2015",0.010173573293502,"defensive"
"beetle growth","latex","cardenolide suite 2015",1.52774436411752,"defensive"
"beetle growth","trichome density","leaf toughness",1.2835080090589,"defensive"
"beetle growth","latex","leaf toughness",0.499760533060334,"defensive"
"beetle growth","latex","trichome density",0.0121383274169473,"defensive"
"beetle survival","cardenolide 10.2","cardenolide 8.4",1.18168537392603,"defensive"
